Date,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27
20/11/2016,74,45,64,82,67,10,23,7,95,76,75,13,84,83,34,58,0,44,15,8,33,61,66,33,16,76,63
19/11/2016,62,56,10,81,62,87,48,54,47,10,39,8,91,9,4,43,54,18,76,20,82,15,35,97,40,57,41
18/11/2016,68,75,70,0,21,62,25,48,48,11,56,27,30,94,30,8,41,49,85,65,16,91,61,78,74,10,29
17/11/2016,91,11,14,83,52,20,65,97,84,99,7,79,90,49,93,25,97,72,76,48,64,99,93,4,38,49,8
16/11/2016,79,90,90,44,5,7,51,33,22,33,89,55,39,67,89,47,78,93,54,87,97,22,94,69,63,67,44
15/11/2016,7,91,5,66,3,24,90,20,7,55,35,13,29,4,56,43,80,94,92,59,91,77,49,60,95,55,5
14/11/2016,39,3,92,3,33,90,66,46,5,8,40,10,34,2,54,38,6,84,40,59,8,47,93,57,22,59,1
13/11/2016,98,2,61,94,67,77,98,40,24,29,20,9,52,22,36,77,3,21,53,54,34,69,9,92,60,61,49
12/11/2016,52,32,39,83,92,35,25,41,84,47,19,40,97,17,5,14,48,4,23,45,34,17,54,48,2,42,30
11/11/2016,30,71,62,54,26,17,17,54,26,21,15,7,81,74,89,41,25,68,91,88,85,1,38,88,47,16,59
10/11/2016,73,87,62,0,46,33,23,41,88,33,26,82,43,65,4,1,83,30,57,19,24,89,34,56,50,6,71
09/11/2016,32,53,55,71,36,44,40,1,15,45,52,27,50,55,42,64,0,14,30,72,46,18,30,99,22,65,8
08/11/2016,86,67,48,52,52,71,72,41,29,13,5,47,50,0,17,10,19,62,62,43,70,62,3,8,5,7,22
07/11/2016,79,9,15,82,47,53,48,75,91,74,40,31,64,47,20,60,71,85,48,81,67,60,24,55,92,35,52
06/11/2016,74,65,20,39,2,45,88,65,72,47,83,10,16,32,3,33,34,34,99,34,95,52,4,56,39,48,62
05/11/2016,36,24,4,33,81,84,5,5,41,78,79,41,14,80,20,63,6,80,12,35,52,47,38,47,25,37,99
04/11/2016,81,29,66,50,52,98,33,5,18,25,62,32,61,67,35,61,34,49,56,36,96,45,77,93,70,82,49
03/11/2016,42,12,50,93,7,56,77,88,91,46,81,87,33,79,43,36,0,61,24,33,72,36,52,4,30,28,27
02/11/2016,43,68,46,45,58,21,27,78,63,83,19,60,71,83,17,0,33,78,74,32,12,72,86,52,23,95,1
01/11/2016,81,86,8,19,0,41,86,98,90,29,75,45,82,71,47,77,26,77,49,81,63,73,79,25,82,92,33
30/10/2016,26,65,10,70,85,8,12,77,19,68,87,64,10,1,71,3,73,91,60,75,5,96,81,2,63,89,90
29/10/2016,61,70,7,16,73,25,76,93,88,12,20,76,93,26,46,88,15,25,87,17,50,72,0,66,36,71,26
28/10/2016,73,42,13,13,3,61,78,65,14,37,91,2,91,44,57,89,26,77,43,72,73,80,56,33,68,41,38
27/10/2016,31,19,53,21,67,68,57,95,70,97,56,42,38,25,30,1,73,61,61,50,26,80,60,41,63,79,45
26/10/2016,49,16,79,94,87,72,19,0,0,59,82,38,72,4,18,90,19,34,13,39,63,32,52,53,61,30,86
25/10/2016,42,10,92,12,47,33,24,26,19,63,94,17,20,10,13,66,44,79,8,84,56,16,28,90,93,25,87
24/10/2016,94,1,42,50,28,19,5,56,1,64,92,98,80,47,15,44,91,45,18,91,8,60,30,7,21,52,58
23/10/2016,87,4,90,25,57,54,39,59,54,63,15,3,89,28,19,13,2,26,23,14,32,13,7,86,10,51,85
22/10/2016,99,43,54,79,96,21,67,92,78,71,78,99,80,37,62,33,77,10,90,70,49,57,3,9,86,55,75
21/10/2016,78,35,2,37,11,55,8,53,24,68,98,34,73,82,65,35,82,30,73,94,80,23,28,17,75,99,52
20/10/2016,21,1,83,86,54,10,87,37,70,32,53,37,1,27,58,29,32,43,94,45,14,5,83,75,84,26,88
19/10/2016,83,39,46,70,59,5,49,83,75,40,39,53,58,4,20,94,65,53,46,91,90,97,81,5,59,49,44
18/10/2016,6,14,14,20,1,50,81,39,18,3,46,48,78,14,38,0,70,32,7,79,37,48,3,87,28,4,95
17/10/2016,53,34,7,80,12,91,28,10,36,33,42,5,12,85,94,64,55,91,76,53,31,74,19,55,64,49,95
16/10/2016,87,47,57,96,40,49,17,86,38,82,90,50,53,71,28,90,48,17,67,12,85,69,29,68,81,85,76
15/10/2016,18,99,63,37,6,18,42,5,79,96,74,38,57,1,26,3,31,18,99,64,40,78,65,52,48,12,68
14/10/2016,9,84,81,19,59,31,83,8,51,14,48,93,30,61,93,10,83,0,52,8,62,42,95,64,73,35,96
13/10/2016,53,55,85,62,86,70,72,86,10,60,93,2,73,35,29,5,70,31,64,94,5,82,35,54,85,38,46
12/10/2016,67,49,61,50,61,34,47,55,98,73,10,45,76,59,60,92,59,35,84,38,50,35,87,26,16,44,52
11/10/2016,0,56,4,40,32,80,21,98,2,96,43,89,73,39,90,86,38,55,19,62,30,90,55,4,16,88,17
10/10/2016,51,12,51,83,34,64,73,41,49,97,84,62,27,38,11,18,58,15,67,79,7,38,76,90,39,9,62
09/10/2016,51,12,51,83,34,64,73,41,49,97,84,62,27,38,11,18,58,15,67,79,7,38,76,90,39,9,62
08/10/2016,51,12,51,83,34,64,73,41,49,97,84,62,27,38,11,18,58,15,67,79,7,38,76,90,39,9,62
07/10/2016,16,79,53,17,18,29,62,20,28,33,79,72,15,92,49,98,61,55,21,60,60,28,74,44,62,51,79
06/10/2016,71,63,19,72,79,93,5,11,88,65,22,44,53,84,62,9,78,91,2,37,19,10,38,54,13,57,1
05/10/2016,38,67,7,44,96,69,46,35,63,16,33,68,43,83,21,52,5,75,15,40,70,86,33,22,74,98,35
04/10/2016,8,54,52,71,8,98,23,74,27,26,10,13,62,29,52,9,8,46,44,52,16,2,55,7,55,88,16
03/10/2016,21,1,49,5,62,53,77,41,47,0,80,49,4,2,22,38,6,27,54,49,37,19,1,89,17,11,85
02/10/2016,4,22,91,88,38,36,72,42,91,10,96,64,6,98,98,75,9,80,89,82,21,61,67,80,66,67,0
01/10/2016,98,19,4,90,81,33,85,91,56,66,33,18,19,10,29,14,76,97,17,82,71,68,98,53,5,58,93
30/09/2016,70,25,46,44,52,86,81,82,19,15,8,59,26,17,15,42,46,62,55,9,82,26,7,2,45,27,72
29/09/2016,71,25,20,66,75,63,96,23,36,64,13,29,12,1,11,43,27,57,25,5,36,38,17,89,64,29,82
28/09/2016,65,71,30,6,85,85,15,14,44,96,4,68,4,66,21,24,71,81,92,98,44,77,4,19,49,59,80
27/09/2016,91,40,8,56,69,39,75,25,34,52,3,8,30,16,47,89,33,50,40,95,16,91,95,83,19,84,41
26/09/2016,66,97,52,46,72,12,11,22,3,34,58,84,55,42,82,30,20,71,29,49,20,1,21,94,50,35,71
25/09/2016,90,37,10,33,53,46,88,13,30,66,79,99,10,71,41,31,64,11,16,67,51,0,94,44,2,8,54
24/09/2016,6,1,77,4,35,71,71,7,41,16,68,14,17,30,16,59,88,49,13,77,60,77,55,76,85,23,41
23/09/2016,33,57,80,23,99,62,23,29,53,37,74,22,36,14,39,30,45,47,87,94,15,8,29,42,72,33,29
22/09/2016,9,77,48,22,13,82,55,10,59,56,71,58,80,68,4,65,3,1,84,51,91,68,37,84,97,50,77
21/09/2016,94,92,44,80,18,51,70,84,79,33,70,7,56,9,11,32,60,22,36,99,61,3,24,84,85,67,46
20/09/2016,17,60,82,74,73,46,85,21,87,33,49,9,23,41,4,36,64,0,21,88,96,30,3,76,45,26,19
19/09/2016,0,55,58,10,53,17,53,11,9,74,88,25,6,76,49,3,19,91,69,76,28,68,35,92,62,29,42
18/09/2016,0,55,58,10,53,17,53,11,9,74,88,25,6,76,49,3,19,91,69,76,28,68,35,92,62,29,42
17/09/2016,5,89,71,85,50,78,59,0,50,27,70,85,16,55,67,55,96,72,58,36,27,72,31,93,66,31,42
16/09/2016,50,27,83,62,21,2,63,15,47,81,80,87,46,59,55,16,42,44,69,98,79,82,37,11,39,41,27
15/09/2016,38,93,82,16,49,48,2,67,94,83,9,24,80,70,86,26,48,41,9,52,92,6,20,10,13,70,24
14/09/2016,32,25,45,18,63,5,13,53,82,86,0,92,96,64,59,75,39,42,54,71,58,1,15,44,0,23,34
13/09/2016,9,36,3,44,83,45,51,56,71,7,34,33,66,47,6,29,20,79,12,68,71,53,65,91,35,62,34
12/09/2016,24,64,52,72,51,9,19,94,61,8,90,20,38,58,12,66,26,3,14,64,93,9,69,91,66,92,57
11/09/2016,7,0,24,72,1,25,9,56,41,61,39,13,48,80,99,88,75,99,46,47,84,67,75,37,14,3,19
10/09/2016,12,77,92,57,72,82,91,83,30,47,71,16,2,87,73,29,5,3,63,54,45,65,0,79,55,64,69
09/09/2016,1,42,99,86,59,6,5,26,61,4,65,92,57,20,24,11,39,82,40,59,93,79,81,22,72,78,1
08/09/2016,5,9,0,76,52,64,35,16,3,21,85,80,69,81,70,50,47,0,68,4,89,85,43,26,83,98,11
07/09/2016,16,23,6,83,9,70,42,27,12,3,12,96,95,4,85,42,20,28,57,95,98,21,72,76,18,73,40
06/09/2016,31,21,99,55,6,59,43,21,42,94,69,53,80,14,97,61,99,59,34,37,32,67,44,8,81,31,36
05/09/2016,87,75,31,77,31,72,68,48,42,28,52,50,65,3,97,67,90,10,58,95,73,22,30,58,5,32,14
04/09/2016,16,57,49,88,52,82,57,79,42,73,1,20,93,99,80,79,43,26,16,94,12,63,63,55,5,77,54
03/09/2016,29,98,77,39,13,74,78,46,10,88,97,12,22,82,91,76,93,26,88,62,27,79,87,13,43,55,30
02/09/2016,20,34,19,47,28,39,12,4,0,16,3,85,34,29,95,85,3,20,60,73,26,51,98,79,93,87,43
01/09/2016,2,88,82,8,71,88,6,87,73,26,70,42,72,71,26,7,55,75,81,86,19,0,45,73,37,3,55
30/08/2016,44,73,90,98,34,35,25,37,42,80,23,92,30,96,75,96,4,9,33,20,46,0,71,83,14,58,1
29/08/2016,46,80,90,76,3,31,96,69,52,11,8,60,2,6,31,46,62,7,60,8,49,41,47,96,97,15,68
28/08/2016,70,69,49,6,13,89,84,94,28,56,78,45,47,6,54,86,29,70,42,45,54,23,38,71,74,37,46
27/08/2016,65,90,24,55,64,0,89,6,61,37,32,40,45,37,16,91,46,14,72,8,12,51,1,59,53,0,17
26/08/2016,61,61,73,58,10,51,41,25,55,66,16,59,40,78,38,87,7,30,51,60,39,26,28,42,76,13,41
25/08/2016,77,17,94,7,96,55,31,87,37,90,96,18,12,40,82,53,53,98,71,46,72,81,4,64,61,10,23
24/08/2016,2,27,50,30,57,12,60,43,58,83,33,51,68,31,99,95,95,37,37,78,93,26,4,76,12,75,85
23/08/2016,10,8,63,6,87,99,70,99,51,8,19,45,27,13,61,33,19,8,62,20,14,39,32,62,19,85,33
22/08/2016,58,35,17,84,62,81,94,41,51,76,55,26,53,85,64,61,91,83,5,58,76,47,33,11,2,3,47
21/08/2016,89,89,98,85,69,65,0,96,49,81,19,4,12,52,88,9,13,81,40,24,82,36,72,18,96,14,9
20/08/2016,20,56,59,96,17,32,35,87,81,39,16,41,23,20,79,91,56,94,9,38,50,80,18,15,31,17,25
19/08/2016,26,81,92,77,91,37,66,15,29,0,74,17,3,14,42,86,70,43,26,35,12,41,85,60,17,81,88
18/08/2016,62,2,63,70,54,56,87,40,60,97,32,85,67,62,63,27,77,93,0,14,84,67,75,65,88,33,73
17/08/2016,57,69,3,85,6,52,57,5,40,5,0,11,74,5,7,38,33,9,6,20,27,81,13,26,43,57,88
16/08/2016,12,49,55,1,90,89,87,27,74,24,54,73,1,61,86,74,45,29,53,88,9,58,68,54,22,70,16
15/08/2016,84,72,27,53,45,37,97,2,74,53,41,80,68,87,25,46,16,40,21,86,22,71,45,94,15,79,9
14/08/2016,82,44,76,0,3,98,9,55,76,29,86,50,23,5,31,74,28,12,77,79,79,72,32,76,27,28,35
13/08/2016,27,74,87,54,79,4,7,56,62,69,89,94,78,90,45,26,31,50,70,50,12,10,7,59,44,56,33
12/08/2016,63,78,5,16,6,25,68,34,45,75,56,58,81,94,73,54,69,49,23,53,54,6,13,69,77,57,79
11/08/2016,0,74,85,2,51,21,79,19,80,71,87,37,47,9,83,51,42,51,94,41,35,32,13,13,60,41,18
10/08/2016,54,94,42,92,17,42,88,22,58,83,36,7,68,2,7,69,18,42,47,32,11,56,8,59,15,17,86
09/08/2016,87,12,7,25,62,65,15,41,31,23,71,52,20,2,94,58,73,83,20,55,30,5,35,83,3,88,80
08/08/2016,3,12,63,49,55,96,95,87,48,44,33,62,47,68,39,50,71,92,6,50,25,61,19,4,31,59,29
07/08/2016,86,77,94,92,99,13,38,72,60,29,53,40,53,47,64,8,95,14,54,96,19,50,79,41,7,98,44
06/08/2016,91,3,65,0,82,14,10,58,39,15,96,66,83,83,36,75,99,8,94,68,2,80,16,5,41,43,89
05/08/2016,46,3,14,76,98,76,89,4,38,80,76,19,86,14,43,47,91,27,12,82,65,76,9,23,55,10,29
04/08/2016,13,21,53,52,35,81,71,75,8,3,78,85,38,44,81,71,5,27,33,46,56,21,84,60,93,18,19
03/08/2016,37,0,73,55,53,61,82,75,3,28,62,83,59,8,90,56,98,20,51,84,52,37,34,25,32,20,88
02/08/2016,99,24,26,8,71,56,33,37,63,80,21,36,91,65,58,34,58,56,84,74,79,76,85,12,62,16,22
01/08/2016,75,61,13,40,62,22,25,65,54,22,85,98,42,88,31,42,21,79,22,64,51,45,15,53,13,15,2
30/07/2016,82,56,16,86,39,81,89,74,36,25,27,9,38,70,37,85,82,95,68,6,4,91,40,29,10,99,49
29/07/2016,46,44,28,49,3,89,26,35,29,58,82,36,62,36,30,79,67,51,79,84,10,29,9,24,19,91,11
28/07/2016,48,17,71,22,87,1,45,88,44,68,37,99,93,87,21,13,4,28,41,99,76,49,6,26,10,69,46
27/07/2016,4,32,35,81,76,50,6,57,4,59,37,20,79,9,98,19,52,36,30,6,14,23,17,31,17,1,22
26/07/2016,71,73,27,61,70,52,69,24,7,69,44,31,99,29,77,2,2,53,5,69,64,27,45,53,5,84,29
25/07/2016,35,96,41,42,57,87,34,81,42,79,68,71,12,59,35,90,28,4,16,61,28,4,53,57,22,8,29
24/07/2016,11,3,27,29,13,73,48,81,27,18,20,69,52,14,22,86,1,34,88,23,54,10,71,60,68,37,80
23/07/2016,73,40,67,13,58,0,93,7,3,47,78,66,51,49,88,20,0,16,71,43,29,55,32,48,71,21,20
22/07/2016,12,53,50,73,17,96,89,40,14,13,30,97,97,98,12,70,97,84,88,0,15,17,24,40,72,85,23
21/07/2016,40,6,3,31,77,13,62,11,84,60,88,75,65,75,57,96,12,21,65,30,22,28,1,82,94,16,67
20/07/2016,48,16,85,17,28,79,40,80,50,20,29,82,81,99,5,71,3,59,4,84,80,35,44,74,49,48,25
19/07/2016,18,87,5,65,85,22,82,64,74,25,40,21,66,24,3,60,12,57,46,94,60,29,93,4,32,18,80
18/07/2016,70,16,18,56,6,98,55,35,43,31,20,97,89,85,65,19,96,32,3,0,14,13,96,33,23,70,99
17/07/2016,3,87,9,81,8,20,78,29,67,56,27,52,66,21,13,56,77,80,53,65,35,67,9,16,91,82,71
16/07/2016,70,55,50,20,80,0,72,61,80,87,16,98,24,33,45,39,65,84,22,74,3,27,47,1,12,28,73
15/07/2016,70,55,50,20,80,0,72,61,80,87,16,98,24,33,45,39,65,84,22,74,3,27,47,1,12,28,73
14/07/2016,98,37,91,8,74,64,92,13,15,99,76,77,22,0,70,28,94,62,94,54,29,55,33,98,37,75,46
13/07/2016,27,30,46,45,49,40,29,7,26,79,90,87,41,24,23,5,30,31,52,10,51,0,26,88,36,44,90
12/07/2016,11,49,36,56,29,12,40,33,52,78,73,5,78,17,84,87,77,95,59,55,1,59,56,57,79,32,0
11/07/2016,90,66,85,49,50,68,16,15,82,37,28,59,64,87,32,96,20,65,86,0,74,88,33,62,94,18,29
10/07/2016,43,36,45,3,71,53,68,5,52,73,51,81,56,87,22,95,57,31,97,58,71,63,26,8,36,11,54
09/07/2016,2,74,43,92,71,39,77,23,76,10,52,90,1,65,41,84,85,1,71,36,25,81,63,43,49,97,94
08/07/2016,50,12,79,30,10,25,99,55,53,43,56,66,33,9,75,47,16,0,36,74,47,94,29,44,26,79,40
07/07/2016,17,25,6,72,67,63,50,44,22,36,35,61,2,35,7,94,33,33,39,80,35,17,82,97,57,20,85
06/07/2016,92,91,86,89,83,85,81,91,42,48,30,41,98,64,89,53,52,37,74,57,39,51,16,16,15,13,55
05/07/2016,71,18,7,7,51,76,41,77,11,51,66,93,62,90,99,34,46,86,3,68,80,21,10,19,71,65,8
04/07/2016,9,61,40,1,79,90,30,89,90,27,50,62,52,39,87,95,44,73,32,79,9,97,87,62,41,30,69
03/07/2016,91,28,96,40,31,58,30,67,45,80,5,57,67,33,61,31,8,79,19,23,14,18,3,59,38,9,24
02/07/2016,61,63,96,38,18,64,8,28,53,14,83,91,94,59,94,69,79,65,17,13,25,78,32,63,35,92,23
01/07/2016,87,31,59,49,90,2,4,0,23,43,33,12,73,30,11,71,80,46,90,3,52,17,23,54,78,22,23
26/06/2016,91,87,93,27,32,8,43,42,37,82,87,72,39,30,84,46,82,33,91,76,46,86,96,32,0,71,47
25/06/2016,9,63,59,15,83,25,88,48,69,7,99,70,31,40,78,12,28,34,66,14,47,58,17,76,69,59,90
24/06/2016,41,47,7,4,18,24,20,55,40,58,75,97,80,28,78,66,26,22,70,26,14,27,34,42,81,52,57
23/06/2016,29,21,58,90,71,91,34,49,81,71,51,14,37,63,41,77,48,62,46,11,48,83,58,54,35,52,69
22/06/2016,37,72,10,98,54,78,32,70,38,84,92,57,67,82,69,30,20,17,62,60,61,23,76,8,70,13,3
21/06/2016,42,63,40,51,61,52,71,18,71,98,2,96,56,58,32,22,55,94,25,89,54,94,8,25,76,75,46
20/06/2016,58,57,47,64,44,15,28,46,60,69,27,41,70,22,19,71,74,64,97,46,85,87,39,18,24,62,73
19/06/2016,56,28,36,34,61,82,9,4,30,3,13,70,92,78,67,71,30,43,55,14,60,79,96,84,15,48,73
18/06/2016,27,19,59,82,25,7,70,22,66,46,62,11,31,35,45,86,11,39,40,26,14,83,87,96,84,58,13
17/06/2016,7,98,37,72,66,40,17,51,81,74,60,68,97,81,56,62,84,59,80,17,53,17,59,36,65,17,62
16/06/2016,96,33,30,64,85,98,94,50,49,53,73,23,42,1,41,40,85,10,90,18,45,12,33,27,47,92,18
15/06/2016,78,65,24,16,1,65,98,8,27,12,2,70,45,83,13,50,67,72,75,94,57,51,38,83,32,13,97
14/06/2016,2,26,7,57,61,10,28,87,32,99,9,92,78,1,56,20,13,52,75,30,97,32,61,29,33,89,58
13/06/2016,93,0,96,71,93,71,2,74,77,99,38,69,17,95,51,75,60,55,1,77,82,17,95,91,29,47,39
12/06/2016,24,82,33,47,75,3,56,15,53,41,98,59,27,40,42,90,60,89,91,64,6,4,0,43,90,45,61
11/06/2016,19,62,88,74,11,69,73,7,90,16,16,60,53,74,60,17,77,49,18,61,33,5,91,49,1,15,75
10/06/2016,89,62,73,21,74,56,76,29,70,5,36,50,17,41,67,73,12,62,13,33,3,35,4,50,79,72,16
09/06/2016,90,25,47,98,24,44,23,82,18,39,3,70,72,75,88,81,95,63,68,80,69,57,65,67,74,24,97
08/06/2016,52,65,47,60,41,14,54,21,37,91,84,39,87,5,21,60,38,63,57,17,39,9,43,10,46,22,21
07/06/2016,52,58,13,69,15,0,67,22,79,66,39,93,47,85,31,24,38,41,45,81,0,55,76,86,96,3,28
06/06/2016,6,74,88,85,82,5,86,8,22,39,51,90,57,42,53,76,36,89,2,64,77,96,9,41,80,9,60
05/06/2016,92,47,17,97,59,62,9,89,96,93,95,16,3,93,30,98,98,83,66,59,57,28,73,47,24,60,54
04/06/2016,78,35,75,79,62,3,97,78,30,91,81,34,95,1,37,4,4,12,27,40,30,75,28,61,96,14,41
03/06/2016,98,32,5,4,80,77,16,38,39,67,27,75,8,12,16,7,5,52,3,3,0,28,72,68,57,66,80
02/06/2016,2,9,76,61,85,44,0,58,65,93,39,54,12,80,50,34,35,30,96,70,18,18,90,16,76,83,8
01/06/2016,87,66,16,34,76,13,12,93,88,97,30,26,74,22,22,92,97,7,69,9,9,82,96,22,55,62,11
30/05/2016,38,45,43,8,41,60,55,61,91,44,66,30,22,6,52,53,67,85,56,13,1,89,20,52,0,54,84
29/05/2016,48,70,63,28,77,77,95,77,34,80,86,82,84,57,1,6,62,7,48,92,50,0,39,1,15,16,29
28/05/2016,90,37,86,95,46,40,31,58,57,92,73,98,55,32,53,50,59,41,81,13,22,20,73,82,4,93,41
27/05/2016,82,89,20,65,95,93,91,46,80,62,72,70,25,41,8,98,17,56,3,61,68,12,18,29,97,49,9
26/05/2016,54,6,5,10,25,6,57,20,67,39,93,83,29,25,31,39,77,57,8,85,90,74,4,40,80,89,76
25/05/2016,4,74,7,66,71,33,18,79,89,98,68,14,49,94,35,82,55,77,70,26,79,29,32,91,71,60,0
24/05/2016,64,3,70,70,64,1,70,28,87,18,55,20,71,72,34,32,92,67,58,85,58,85,94,24,52,3,97
23/05/2016,82,77,37,73,85,99,94,98,67,35,38,84,59,52,27,33,29,83,19,84,43,50,23,6,42,4,33
22/05/2016,50,13,51,83,42,67,69,23,79,16,51,75,3,65,58,10,54,82,53,88,58,88,88,23,40,17,42
21/05/2016,50,13,51,83,42,67,69,23,79,16,51,75,3,65,58,10,54,82,53,88,58,88,88,23,40,17,42
20/05/2016,41,58,64,77,95,71,52,60,23,12,8,60,55,93,38,19,49,60,99,31,13,56,43,70,14,31,1
19/05/2016,94,97,73,37,35,8,57,41,53,89,29,6,67,28,38,37,86,7,49,39,86,57,36,74,65,31,32
18/05/2016,92,9,11,58,2,70,25,65,47,4,92,40,69,99,17,71,41,19,55,66,43,60,23,71,13,55,89
17/05/2016,5,27,3,22,19,29,89,11,16,47,69,36,68,32,97,42,29,17,77,31,60,43,22,25,32,40,34
16/05/2016,34,79,4,74,22,17,80,92,10,66,77,62,82,52,7,18,41,75,3,96,95,49,20,25,49,1,2
15/05/2016,81,63,76,15,7,41,89,20,72,88,9,79,98,96,98,69,65,69,52,73,79,7,5,98,20,47,7
14/05/2016,24,54,94,26,32,92,90,41,14,43,47,22,61,82,40,50,26,89,14,82,70,78,96,26,68,52,74
13/05/2016,86,47,55,53,48,76,97,90,53,6,16,55,61,54,62,94,29,60,26,63,58,32,77,68,99,85,89
12/05/2016,39,84,12,64,50,33,54,42,37,95,33,20,60,28,92,31,5,19,10,4,53,37,64,7,6,11,69
11/05/2016,75,48,57,55,77,55,6,68,1,93,48,88,7,62,39,96,2,0,64,52,30,40,24,62,87,3,74
